MonitoringLocation,SampleDate,Depth,Layer,Parameter,MeasureValue,Unit,Latitude,Longitude
CB3.2,10/19/88,0.5,S ,PH,7.8,SU,39.08397,-76.18145
CB3.2,10/19/88,0.5,S ,SALINITY,11.41,PPT,39.08397,-76.18145
CB3.2,10/19/88,0.5,S ,WTEMP,14.4,DEG C,39.08397,-76.18145
CB3.2,10/20/10,0.5,S ,PH,7.8,SU,39.08397,-76.18145
CB3.2,10/20/10,0.5,S ,SALINITY,6.37,PPT,39.08397,-76.18145
CB3.2,10/20/10,0.5,S ,WTEMP,16,DEG C,39.08397,-76.18145
CB3.2,10/21/09,0.5,AP,PH,7.8,SU,39.08397,-76.18145
CB3.2,10/21/09,0.5,AP,SALINITY,9.27,PPT,39.08397,-76.18145
CB3.2,10/21/09,0.5,AP,WTEMP,13.8,DEG C,39.08397,-76.18145
CB3.2,10/21/09,0.5,S ,PH,7.8,SU,39.08397,-76.18145
CB3.2,10/21/09,0.5,S ,SALINITY,9.27,PPT,39.08397,-76.18145
CB3.2,10/21/09,0.5,S ,WTEMP,13.8,DEG C,39.08397,-76.18145
CB3.2,10/21/15,0.5,S ,PH,7.8,SU,39.08397,-76.18145
CB3.2,10/21/15,0.5,S ,SALINITY,11.41,PPT,39.08397,-76.18145
CB3.2,10/21/15,0.5,S ,WTEMP,15,DEG C,39.08397,-76.18145
CB3.2,10/21/87,0.5,S ,PH,8.4,SU,39.08397,-76.18145
CB3.2,10/21/87,0.5,S ,SALINITY,7.64,PPT,39.08397,-76.18145
CB3.2,10/21/87,0.5,S ,WTEMP,15.5,DEG C,39.08397,-76.18145
CB3.2,10/21/92,0.5,S ,PH,7.7,SU,39.08397,-76.18145
CB3.2,10/21/92,0.5,S ,SALINITY,10.37,PPT,39.08397,-76.18145
CB3.2,10/21/92,0.5,S ,WTEMP,14.6,DEG C,39.08397,-76.18145
CB3.2,10/22/08,0.5,S ,PH,7.8,SU,39.08397,-76.18145
CB3.2,10/22/08,0.5,S ,SALINITY,12.79,PPT,39.08397,-76.18145
CB3.2,10/22/08,0.5,S ,WTEMP,15.5,DEG C,39.08397,-76.18145
CB3.2,10/22/14,0.5,S ,PH,7.8,SU,39.08397,-76.18145
CB3.2,10/22/14,0.5,S ,SALINITY,9.78,PPT,39.08397,-76.18145
CB3.2,10/22/14,0.5,S ,WTEMP,16.5,DEG C,39.08397,-76.18145
CB3.2,10/22/19,0.5,S ,PH,7.8,SU,39.08397,-76.18145
CB3.2,10/22/19,0.5,S ,SALINITY,9.33,PPT,39.08397,-76.18145
CB3.2,10/22/19,0.5,S ,WTEMP,16.2,DEG C,39.08397,-76.18145
CB3.2,10/23/85,0.5,AP,PH,7.6,SU,39.08397,-76.18145
CB3.2,10/23/85,0.5,AP,SALINITY,13.39,PPT,39.08397,-76.18145
CB3.2,10/23/85,0.5,AP,WTEMP,17.2,DEG C,39.08397,-76.18145
CB3.2,10/23/85,0.5,S ,PH,7.6,SU,39.08397,-76.18145
CB3.2,10/23/85,0.5,S ,SALINITY,13.39,PPT,39.08397,-76.18145
CB3.2,10/23/85,0.5,S ,WTEMP,17.2,DEG C,39.08397,-76.18145
CB3.2,10/24/84,0.5,S ,PH,7.3,SU,39.08397,-76.18145
CB3.2,10/24/84,0.5,S ,SALINITY,11.34,PPT,39.08397,-76.18145
CB3.2,10/24/84,0.5,S ,WTEMP,18.3,DEG C,39.08397,-76.18145
CB3.2,10/24/89,0.5,S ,PH,7.7,SU,39.08397,-76.18145
CB3.2,10/24/89,0.5,S ,SALINITY,4,PPT,39.08397,-76.18145
CB3.2,10/24/89,0.5,S ,WTEMP,14.1,DEG C,39.08397,-76.18145
CB3.2,10/25/94,0.5,AP,PH,7.6,SU,39.08397,-76.18145
CB3.2,10/25/94,0.5,AP,SALINITY,10.11,PPT,39.08397,-76.18145
CB3.2,10/25/94,0.5,AP,WTEMP,16.8,DEG C,39.08397,-76.18145
CB3.2,10/25/94,0.5,S ,PH,7.6,SU,39.08397,-76.18145
CB3.2,10/25/94,0.5,S ,SALINITY,10.11,PPT,39.08397,-76.18145
CB3.2,10/25/94,0.5,S ,WTEMP,16.8,DEG C,39.08397,-76.18145
CB3.2,10/26/93,0.5,S ,PH,7.8,SU,39.08397,-76.18145
CB3.2,10/26/93,0.5,S ,SALINITY,11.15,PPT,39.08397,-76.18145
CB3.2,10/26/93,0.5,S ,WTEMP,15.6,DEG C,39.08397,-76.18145
CB3.2,10/27/05,0.5,S ,PH,7.9,SU,39.08397,-76.18145
CB3.2,10/27/05,0.5,S ,SALINITY,4.54,PPT,39.08397,-76.18145
CB3.2,10/27/05,0.5,S ,WTEMP,13.2,DEG C,39.08397,-76.18145
CB3.2,10/29/86,0.5,S ,PH,7.5,SU,39.08397,-76.18145
CB3.2,10/29/86,0.5,S ,SALINITY,10.5,PPT,39.08397,-76.18145
CB3.2,10/29/86,0.5,S ,WTEMP,15.5,DEG C,39.08397,-76.18145
CB3.2,10/3/11,0.5,S ,PH,7.7,SU,39.08397,-76.18145
CB3.2,10/3/11,0.5,S ,SALINITY,0,PPT,39.08397,-76.18145
CB3.2,10/3/11,0.5,S ,WTEMP,18.4,DEG C,39.08397,-76.18145
CB3.2,10/3/91,0.5,S ,PH,7.6,SU,39.08397,-76.18145
CB3.2,10/3/91,0.5,S ,SALINITY,12.73,PPT,39.08397,-76.18145
CB3.2,10/3/91,0.5,S ,WTEMP,20.2,DEG C,39.08397,-76.18145
CB3.2,10/31/90,0.5,S ,PH,7.7,SU,39.08397,-76.18145
CB3.2,10/31/90,0.5,S ,SALINITY,1.51,PPT,39.08397,-76.18145
CB3.2,10/31/90,0.5,S ,WTEMP,11.7,DEG C,39.08397,-76.18145
CB3.2,10/4/95,0.5,S ,PH,7.9,SU,39.08397,-76.18145
CB3.2,10/4/95,0.5,S ,SALINITY,13.79,PPT,39.08397,-76.18145
CB3.2,10/4/95,0.5,S ,WTEMP,20.8,DEG C,39.08397,-76.18145
CB3.2,10/5/88,0.5,S ,PH,7.4,SU,39.08397,-76.18145
CB3.2,10/5/88,0.5,S ,SALINITY,12.4,PPT,39.08397,-76.18145
CB3.2,10/5/88,0.5,S ,WTEMP,19.9,DEG C,39.08397,-76.18145
CB3.2,10/5/99,0.5,S ,PH,7.7,SU,39.08397,-76.18145
CB3.2,10/5/99,0.5,S ,SALINITY,5.63,PPT,39.08397,-76.18145
CB3.2,10/5/99,0.5,S ,WTEMP,19.5,DEG C,39.08397,-76.18145
CB3.2,10/6/86,0.5,S ,PH,7.6,SU,39.08397,-76.18145
CB3.2,10/6/86,0.5,S ,SALINITY,11.54,PPT,39.08397,-76.18145
CB3.2,10/6/86,0.5,S ,WTEMP,21,DEG C,39.08397,-76.18145
CB3.2,10/7/15,0.5,AP,PH,7.9,SU,39.08397,-76.18145
CB3.2,10/7/15,0.5,AP,SALINITY,13.33,PPT,39.08397,-76.18145
CB3.2,10/7/15,0.5,AP,WTEMP,19.4,DEG C,39.08397,-76.18145
CB3.2,10/7/15,0.5,S ,PH,7.9,SU,39.08397,-76.18145
CB3.2,10/7/15,0.5,S ,SALINITY,13.33,PPT,39.08397,-76.18145
CB3.2,10/7/15,0.5,S ,WTEMP,19.4,DEG C,39.08397,-76.18145
CB3.2,10/7/87,0.5,S ,PH,7.5,SU,39.08397,-76.18145
CB3.2,10/7/87,0.5,S ,SALINITY,10.17,PPT,39.08397,-76.18145
CB3.2,10/7/87,0.5,S ,WTEMP,16.9,DEG C,39.08397,-76.18145
CB3.2,10/8/03,0.5,AP,PH,7.7,SU,39.08397,-76.18145
CB3.2,10/8/03,0.5,AP,SALINITY,5.27,PPT,39.08397,-76.18145
CB3.2,10/8/03,0.5,AP,WTEMP,17.5,DEG C,39.08397,-76.18145
CB3.2,10/8/03,0.5,S ,PH,7.7,SU,39.08397,-76.18145
CB3.2,10/8/03,0.5,S ,SALINITY,5.27,PPT,39.08397,-76.18145
CB3.2,10/8/03,0.5,S ,WTEMP,17.5,DEG C,39.08397,-76.18145
CB3.2,10/8/92,0.5,AP,PH,7.8,SU,39.08397,-76.18145
CB3.2,10/8/92,0.5,AP,SALINITY,6.68,PPT,39.08397,-76.18145
CB3.2,10/8/92,0.5,AP,WTEMP,16.7,DEG C,39.08397,-76.18145
CB3.2,10/8/92,0.5,S ,PH,7.8,SU,39.08397,-76.18145
CB3.2,10/8/92,0.5,S ,SALINITY,6.68,PPT,39.08397,-76.18145
CB3.2,10/8/92,0.5,S ,WTEMP,16.7,DEG C,39.08397,-76.18145
CB3.2,10/9/85,0.5,S ,PH,7.7,SU,39.08397,-76.18145
CB3.2,10/9/85,0.5,S ,SALINITY,11.15,PPT,39.08397,-76.18145
CB3.2,10/9/85,0.5,S ,WTEMP,18.5,DEG C,39.08397,-76.18145
CB3.2,11/1/17,0.5,S ,PH,7.8,SU,39.08397,-76.18145
CB3.2,11/1/17,0.5,S ,SALINITY,11.93,PPT,39.08397,-76.18145
CB3.2,11/1/17,0.5,S ,WTEMP,15,DEG C,39.08397,-76.18145
CB3.2,11/10/04,0.5,S ,PH,8,SU,39.08397,-76.18145
CB3.2,11/10/04,0.5,S ,SALINITY,4.72,PPT,39.08397,-76.18145
CB3.2,11/10/04,0.5,S ,WTEMP,11.8,DEG C,39.08397,-76.18145
